docdb_family_id,person_ctry_code,inventor_count
77274458,NO,2
77274533,NO,2
77274569,NO,2
77274601,NO,2
77338715,NO,3
77353786,NO,1
77353839,DE,2
77353839,NO,2
77353883,NO,2
77353905,NO,1
77353951,NO,3
77353982,NO,3
77354008,NO,3
77398385,NO,1
77443336,NO,2
77443404,NO,5
77491967,NO,1
77499721,BE,1
77499721,NL,1
77499721,NO,3
77499725,BE,1
77499725,NL,1
77499725,NO,3
77518971,AT,1
77518971,BE,2
77518971,DE,1
77518971,FR,1
77518971,IT,1
77518971,NL,1
77519120,GB,5
77519120,NO,1
77520556,NO,3
77541101,NO,2
77541104,NO,2
77612538,DE,3
77612538,NO,1
77651167,NO,1
77651224,DE,1
77651224,NO,5
77651243,NO,1
77651247,NO,2
77651258,FI,2
77651352,NO,3
77651374,NO,2
77651385,NO,2
77651420,NO,2
77666140,DE,1
77666205,DE,1
77666505,NO,2
77710542,BE,1
77711177,FR,2
77726425,NO,2
77774823,FI,1
77774823,NO,4
77774823,SE,1
77854452,NO,2
77854452,US,5
77859894,NO,2
77859955,NO,2
77860096,NO,2
77892622,NO,2
77892622,US,5
77913013,NO,2
77913930,BR,3
77913965,AE,1
77914010,NO,2
77930414,NO,1
77998908,NO,1
77999706,NO,3
77999718,NO,3
77999728,FI,1
77999728,NO,3
78049496,NO,4
78049512,GB,2
78049512,NO,2
78076741,NO,2
78080235,DK,1
78080235,NO,6
78081604,CN,1
78081604,NO,2
78085476,NO,5
78085563,DK,1
78085563,NO,6
78086609,NO,1
78087017,NO,4
78114129,DK,3
78114129,NO,1
78149276,NO,1
78149310,US,2
78149430,NO,2
78179173,DK,4
78221932,NO,4
78221932,US,4
78269084,NO,2
78270297,NO,2
78292365,NO,6
78302707,NO,1
78333015,NO,2
78333016,NO,2
78373713,NO,1
78373715,NO,3
78399559,NO,1
78399571,BE,1
78399571,NO,2
78399758,NO,1
78414448,AT,2
78414448,NO,2
78414611,NO,3
78463435,NO,2
78497755,AE,1
78497777,NO,1
78497813,NO,2
78497950,NO,4
78500332,DE,1
78500346,GB,1
78500346,NL,1
78513390,NO,2
78513390,US,1
78516554,NO,1
78516659,NO,7
78617355,FR,2
78617355,NO,1
78617355,SE,1
78617356,NO,1
78649093,DE,2
78649209,CH,1
78649209,NO,2
78705808,NO,2
78705841,NO,2
78708861,FR,4
78708861,NO,1
78708861,US,1
78709263,BE,1
78709263,NO,1
78718372,NO,4
78718395,NO,2
78718412,NO,2
78718558,NO,2
78789715,JP,1
