docdb_family_id,person_ctry_code,applicant_count
80937099,NO,1
80937213,NO,1
80937213,SA,1
80937213,US,1
80937236,US,2
80952372,NO,1
80952377,US,2
80952480,NO,1
80978742,NO,1
80979061,NO,1
80998308,NO,1
81074028,NO,1
81074053,NO,1
81074071,FR,1
81074345,NO,1
81075476,NO,1
81075510,NO,1
81075561,NO,1
81075570,NO,1
81075575,NO,1
81075749,NO,1
81175289,NO,1
81206887,NO,1
81210399,NO,1
81213607,NO,1
81214495,NO,1
81254777,GB,1
81254791,NO,1
81254903,NO,1
81254906,NO,1
81254952,NO,1
81306665,NO,1
81306788,NO,1
81306981,NO,1
81307288,FR,1
81307311,NO,1
81307324,FR,1
81307492,CH,1
81308050,NO,1
81308176,NO,1
81308272,NO,1
81308553,NO,1
81308594,NO,1
81324982,NO,1
81325430,NO,1
81325431,NO,1
81325566,NO,1
81325759,NO,1
81326046,NO,1
81326128,NO,1
81326488,NO,1
81326591,US,1
81326879,NO,1
81327303,GB,1
81327653,NO,1
81328115,US,1
81328199,NO,1
81328200,NO,1
81344328,NO,1
81344337,NO,1
81344483,NO,1
81344503,NO,1
81344859,GB,1
81344898,GB,1
81346368,NO,1
81346577,NO,1
81380893,GB,1
81384634,NO,1
81384760,NO,1
81384781,NO,1
81385111,SE,1
81386561,US,1
81386647,NO,1
81386668,NO,1
81386760,DE,1
81386760,NO,1
81387099,NO,1
81388934,FR,1
81388984,NO,6
81388984,US,2
81389003,NO,1
81389076,NO,1
81389079,FR,1
81393173,NO,1
81448479,SG,1
81448632,US,1
81448725,NO,1
81448775,NO,1
81448897,NO,1
81449275,GB,1
81449402,NO,1
81454746,CH,1
81579630,US,1
81579635,NO,1
81580154,NO,1
81580233,NO,1
81580270,NO,1
81580295,NO,1
81580517,NO,1
81580604,NO,1
81580827,FR,1
81580920,NO,1
81581049,FR,1
81581143,FR,1
81581549,NO,1
81585230,NO,1
81585277,NO,1
81585445,NO,1
81585564,NO,1
81587255,NO,1
81588616,NO,1
81588790,NO,1
81595818,NO,1
81595823,FR,1
81597845,NO,1
81597914,NO,1
81598064,NO,1
81603506,NO,1
81603615,NO,1
81603727,NO,1
81603820,NO,1
81648083,NO,1
81648377,US,1
81648668,NO,1
81648712,US,1
81648753,NO,1
81648756,US,1
81653119,NO,1
81653470,NO,1
81653638,NO,1
81654569,US,1
81654639,FR,1
81654666,SE,1
81654701,NO,1
81654754,US,1
81654963,NO,1
81656899,NO,2
81658941,NO,1
81722278,NO,1
81748288,NO,1
81748332,NO,1
81748534,DE,1
81748534,NO,1
81748566,GB,1
81748566,NO,1
81748742,FR,1
81748770,US,1
81748833,NO,1
81750372,NO,1
81750431,NO,1
81750644,NO,1
81755416,NO,1
81841920,FR,1
81841971,NO,1
81842114,DE,1
81846492,DE,1
81850269,NO,1
81850423,NO,1
81850937,NO,1
81851058,NO,2
81851424,NO,1
81851786,FR,1
81851951,US,1
81851961,NO,1
81852021,GB,1
81852021,NO,1
81854365,NO,1
81854429,NO,1
81854511,NO,1
81854561,NO,1
81927810,NO,1
81940399,NO,1
81940532,US,3
81940685,FI,4
81940685,NO,5
81940740,NO,1
81940992,CH,1
81941029,NO,1
81941056,NO,1
81941057,NO,1
81941183,NO,3
81942679,US,1
81943752,NO,1
81943850,NO,1
81943853,NO,1
81943896,NO,1
81943952,NO,1
81975344,NO,1
81975344,RO,1
81975363,NO,1
81975364,NO,1
81984568,NO,1
82016277,NO,1
82016278,NO,1
82016296,NO,1
82016317,NO,1
82016364,NO,2
82016518,NO,1
82016537,NO,5
82016557,NO,5
82016574,NO,1
82016579,NO,1
82016622,SE,2
82019174,NO,1
82019386,NO,1
82019693,NO,1
82019888,NO,1
82020037,SG,1
82020091,NO,1
82020136,NO,1
82020824,NO,1
82020967,GB,1
82021181,NO,1
82021181,US,1
82023435,NO,1
82024111,NO,1
82058188,NO,1
82058243,NO,1
82058327,SE,1
82058424,SE,1
82058491,NO,2
82067491,NO,1
82067531,NO,1
82100296,NO,1
82100506,NO,1
82100708,NO,1
82115495,NO,1
82115521,NO,1
82115566,NO,1
82115571,NO,1
82115682,SE,1
82115838,NO,1
82115841,NO,1
82117078,NO,1
82117223,US,1
82117448,DK,1
82117448,US,2
82117604,NO,1
82156126,NO,1
82156162,NO,1
82156174,NO,1
82156199,NO,1
82156204,NO,1
82156385,NO,1
82156720,FR,1
82163351,NO,1
82163379,NO,1
82196722,JP,1
82196722,NO,1
82199329,DE,1
82199334,DE,1
82199505,NO,1
82214228,CH,1
82214350,JP,1
82214350,NO,1
82220583,NO,1
82220654,NO,1
82258190,NO,1
82258192,NO,1
82258236,NO,1
82258334,NO,1
82258572,NO,1
82270634,NO,1
82270661,NO,1
82270675,NO,1
82308501,NO,1
82319609,LV,1
82319840,NO,1
82319860,NO,1
82320063,NO,1
82321313,NO,1
82321401,NO,1
82321424,NO,1
82321568,NO,1
82324047,GB,1
82324131,NO,1
82357374,NO,1
82357377,NO,1
82357379,NO,1
82357385,NO,1
82357393,NO,1
82357398,NO,1
82358432,NO,1
82358531,NO,1
82358547,NO,1
82358646,NO,1
82361296,NO,1
82385593,NO,1
82399210,NO,1
82399406,NO,1
82399667,NO,1
82399708,NO,1
82403410,SE,1
82404009,NO,1
82404066,NO,1
82404145,SE,1
82404235,NO,1
82404265,NO,1
82404571,NO,1
82448702,GB,1
82448702,US,1
82482532,US,1
82482895,NO,1
82483026,NO,1
82483094,NO,1
82483540,NO,1
82492391,NO,1
82492426,NO,1
82492556,NO,1
82492654,NO,1
82492832,NO,1
82492867,CN,1
82492867,NO,1
82493530,NO,1
82493863,NO,1
82494071,NO,1
82495684,NO,2
82495692,NO,2
82496202,GB,1
82496277,NO,1
82546990,NO,1
82547539,NO,1
82548462,NO,1
82548970,NO,1
82549023,NO,1
82557899,SE,1
82594784,NO,3
82594970,NO,1
82595230,NO,1
82608433,NO,1
82608516,NO,1
82611111,NO,1
82653737,NO,1
82653738,NO,1
82653740,NO,1
82654901,CA,1
82654901,FR,1
82654901,NL,1
82654901,US,1
82655098,NO,1
82655111,NO,1
82655150,NO,1
82655181,NO,1
82693795,NO,1
82693796,NO,1
82693870,NO,1
82693949,NO,1
82701768,CH,1
82701928,DE,1
82701991,NO,1
82702943,NO,1
82703084,NO,2
82704521,GB,1
82704521,US,1
82705247,BR,1
82705269,NO,1
82705338,NO,1
82705339,NO,1
82705483,BR,1
82705570,NO,1
82741651,NO,2
82741657,NO,1
82741702,CA,1
82741702,FR,1
82741702,NL,1
82741702,US,1
82748122,NO,1
82780826,NL,1
82781111,NO,1
82786642,NO,1
82802511,NO,1
82802634,NO,1
82802653,NO,1
82838017,US,1
82838019,NO,1
82838024,NO,1
82838128,DK,1
82838980,NO,1
82839251,CH,1
82846144,FR,1
82846310,NO,1
82846328,FR,1
82850657,NO,1
82851645,NO,2
82851717,NO,1
82898868,SE,1
82899025,NO,1
82899372,NO,1
82900535,US,1
82900631,NO,1
82931537,NO,1
82931542,NO,1
82931551,NO,1
82932396,NO,2
82932514,NO,1
82932766,NO,1
82939746,NO,1
82939922,NO,1
82940046,NO,1
82942524,US,1
83004587,CH,2
83004587,NO,1
83004735,FR,1
83004832,NO,1
83046391,NO,1
83048370,NO,1
83048398,NO,1
83048400,NO,2
83048401,NO,1
83050003,US,1
83059139,NO,1
83081607,NO,1
83115333,FR,1
83115363,DE,1
83115512,NO,1
83116964,US,1
83149127,NO,1
83149261,US,1
83149420,NO,1
83151683,NO,1
83151773,NO,1
83154365,NO,1
83154371,NO,1
83154375,NO,1
83154376,NO,1
83188077,AU,1
83188283,NO,1
83189239,NO,1
83191828,NO,1
83191856,NO,1
83191952,NO,1
83191999,NO,1
83193207,FR,1
83193232,FR,1
83193236,GB,1
83193236,NO,1
83193274,FR,1
83193330,NO,1
83193362,US,1
83193536,FR,1
83193543,NO,1
83193627,FR,1
83226352,DK,1
83226950,NO,1
83226953,NO,1
83226956,NO,1
83227280,CA,1
83227280,FR,1
83227280,NL,1
83227280,US,1
83228860,NO,1
83232598,DE,1
83232598,NO,1
83232796,NO,1
83265704,NO,1
83271101,DE,1
83271101,NO,1
83271154,DE,1
83271154,NO,1
83271166,NO,1
83271293,NO,1
83271346,NO,1
83271688,NO,1
83280286,NO,1
83280302,NO,1
83280424,NO,1
83280526,NO,1
83280530,NO,1
83283103,NO,1
83283191,NO,1
83285501,NO,2
83318880,NO,1
83318908,NO,1
83318998,NO,1
83321527,NO,1
83322546,NO,1
83355291,US,1
83355415,NO,1
83355527,CH,1
83355801,NO,1
83360893,NO,1
83361042,NO,1
83361222,NO,1
83361320,NO,1
83363180,US,1
83363246,US,1
83364984,NO,1
83380825,NO,1
83395966,NO,1
83395979,NO,1
83396100,CA,1
83396100,FR,1
83396100,NL,1
83396100,US,1
83398157,NO,1
83398304,NO,1
83398425,NO,1
83398476,NO,1
83400691,NO,1
83400834,NO,1
83401951,NO,1
83438284,NO,1
83440063,NO,1
83440072,NO,1
83447795,US,1
83457483,NO,1
83459741,NO,1
83505504,CA,1
83506257,NO,1
83507570,GB,1
83507570,GR,3
83507570,NO,1
83508729,CH,1
83545728,US,1
83546808,NO,1
83558022,NO,1
83558072,NO,1
83558073,GB,1
83558073,NO,2
83558141,NO,1
83558278,NO,1
83586993,NO,1
83594174,NO,1
83594243,FR,1
83598563,NO,1
83640899,NO,1
83640907,NO,1
83640917,NO,1
83657842,NO,1
83658162,NO,2
83688636,NO,1
83688643,NO,1
83689843,SE,1
83690003,NO,1
83690083,US,1
83691075,NO,1
83691374,NO,1
83692955,NL,1
83692955,NO,1
83693055,NO,1
83693155,NO,1
83693933,SA,1
83722551,NO,1
83722553,NO,1
83722556,NO,1
83722557,NL,1
83722557,NO,4
83723140,GB,1
83723140,US,1
83808491,NO,1
83838579,NO,1
83847140,NO,1
83847143,NO,1
83848905,NO,1
83898077,NO,1
83898498,CH,1
83899371,US,1
83901259,US,1
83901590,NO,1
83902117,NO,1
83902160,NO,2
83902222,NO,1
83903271,NO,1
83903310,US,1
83903326,DE,1
83931627,NO,1
83931666,US,1
83931679,FR,1
83931702,FR,1
83931726,NO,1
83931742,NO,1
83931862,NO,1
83931874,NO,2
83932887,NO,1
83932889,NO,1
83932892,NO,1
83932969,NO,1
83932969,US,1
83933415,NO,1
83945106,NO,1
83945204,NO,1
83978610,NO,1
83994952,DK,1
83994952,NO,1
83995063,FR,1
83995396,NO,1
83995521,GB,1
83995521,NO,1
83996555,DE,1
83996643,NO,1
83998677,NO,1
83999582,CA,1
83999582,FR,1
83999582,NL,1
83999582,US,1
84000344,NO,1
84028775,NO,1
84028781,NO,1
84044118,BE,1
84044710,NO,1
84044871,NO,1
84045077,DE,1
84045093,NO,1
84045111,NO,1
84046074,NO,1
84047713,NO,1
84047781,NO,1
84102990,CA,1
84102990,FR,1
84102990,NL,1
84102990,US,1
84103488,US,1
84110344,NO,1
84140688,NO,1
84140693,NO,1
84140711,NO,1
84140824,NO,1
84140824,US,1
84179481,US,1
84195218,GB,1
84195361,NO,1
84228310,FR,1
84228310,NL,1
84230281,FR,1
84230281,NL,1
84245750,NO,1
84245781,NO,1
84246047,NO,1
84246126,NO,1
84285060,NO,1
84286009,US,1
84286076,NO,1
84322529,CA,1
84323469,NO,2
84323471,NO,1
84323472,NO,1
84323475,NO,1
84329537,NO,1
84329593,NO,1
