docdb_family_id,person_ctry_code,combined_count
74667751,FI,1
74667751,NO,1
74669502,NO,4
74673088,DE,1
74673088,NO,1
74673128,NO,3
74673162,GB,2
74673162,NO,3
74678839,NO,4
74678960,NO,2
74678969,GB,1
74678969,NO,3
74679039,GB,2
74679039,NO,2
74683940,NO,2
74759495,NO,4
74759495,US,3
74844971,NO,2
74856697,NO,2
74856810,FR,1
74856810,NO,1
74856810,SE,1
74858223,DE,4
74858223,NO,1
74858353,NO,3
74858381,FR,1
74858381,NO,2
74858735,CH,1
74858735,NL,2
74858735,NO,1
74859050,FI,2
74859050,NO,1
74859178,NL,1
74859178,NO,1
74859178,US,2
74859292,NO,3
74859759,FR,1
74859759,NO,2
74859760,FR,1
74859760,NO,2
74865311,GB,1
74865311,NO,4
74865391,NO,2
74867403,NO,6
74870795,DK,1
74870795,NO,12
74870795,SG,1
74871245,CH,1
74871245,NO,4
74871256,CH,1
74871256,NO,5
74871262,CH,1
74871262,NO,4
74871268,CH,1
74871268,NO,4
74871739,NO,2
74873595,NO,3
74873595,US,1
74874673,DE,1
74874673,NO,1
74878994,GB,1
74878994,NO,4
74879119,FI,1
74879119,NO,2
74879746,NO,2
74879896,NO,3
74879896,US,6
74947002,NO,2
75108123,NO,4
75108645,ES,1
75108645,NO,1
75108647,AU,1
75108647,GB,1
75108647,NO,1
75108647,US,2
75108757,NO,2
75143529,NO,4
75143624,NO,2
75143639,NO,4
75173069,NO,2
75223190,CH,1
75223190,NO,5
75223383,NO,2
75252554,BE,1
75252554,FI,1
75252554,NO,1
75277807,BE,4
75277807,NO,1
75277910,NO,3
75278321,NO,4
75302245,BE,1
75302245,FI,1
75302245,FR,2
75302245,NO,2
75338915,BR,1
75338915,CH,3
75338915,NO,1
75338968,NO,3
75339117,NO,3
75339220,NO,2
75339244,NO,2
75339765,GB,2
75339765,NO,1
75339765,SE,4
75362480,NO,2
75377335,GB,2
75377335,NO,1
75377362,FI,1
75377362,GB,1
75377362,NO,3
75377376,NO,4
75377393,NO,2
75382704,CA,1
75382704,FR,1
75382704,NL,1
75382704,NO,2
75382704,US,4
75382722,NO,2
75396825,DE,1
75396825,FR,4
75396825,GB,2
75396825,GE,1
75396825,NO,1
75426600,NO,2
75426600,US,1
75438700,NO,7
75439421,NO,6
75472491,GB,1
75472491,NO,2
75472510,NO,5
75472546,GB,1
75472546,NO,2
75472617,NO,3
75538815,NO,2
75539309,NO,5
75539316,DE,1
75539316,NO,3
75562632,NO,5
75562667,NO,2
75623186,NO,5
75623223,NO,2
75625504,NO,4
75625514,FR,1
75625514,NO,3
75659951,FR,1
75659951,NO,1
75674697,CH,1
75674697,IN,2
75674697,NO,1
75674697,SE,3
75674910,NO,2
75689863,NO,3
75689873,NO,4
75689899,NO,3
75689964,NO,4
75715502,NO,3
75715502,US,1
75728774,FR,1
75728774,NO,3
75783488,GB,1
75783488,NO,5
75783518,NO,5
75783519,CN,1
75783519,GB,1
75783519,IT,1
75783519,NO,1
75783519,SE,1
75783537,NO,5
75783587,NO,4
75783629,NO,2
75783680,GB,1
75783680,NO,2
75783680,SE,1
75783683,NO,5
75783685,NO,2
75783691,NO,3
75783718,NO,2
75783725,GB,1
75783725,NO,2
75783800,NO,3
75825423,DE,3
75825423,NO,1
75825573,DE,2
75825573,IE,1
75825573,NO,1
75847370,US,9
75848552,NO,2
75870604,NO,6
75883629,NO,3
75883629,SE,1
75883646,NO,2
75904848,FR,1
75904848,NO,1
75904848,SE,1
75908967,NO,1
75908967,US,4
75912126,NO,6
75919357,CH,2
75919357,NO,1
75936799,NO,6
75949464,NO,3
75973750,NO,1
75973750,US,1
75973754,NO,1
75973754,US,5
75981711,NO,3
75981711,US,1
76011774,NO,6
76011945,NO,3
76034738,FR,2
76034738,NO,1
76059662,NO,3
76059759,BE,1
76059759,FR,1
76059759,IT,1
76059759,NO,1
76137930,NL,1
76137930,NO,2
76159982,NO,2
76180995,DE,1
76180995,NO,3
76180995,US,1
76193425,GB,7
76193425,NO,4
76193425,US,2
76193586,NO,2
76193594,NO,4
76193597,NO,4
76209574,NO,1
76209574,US,6
76250126,NO,4
76250126,SE,1
76270135,NO,2
76283662,AE,1
76283662,GB,1
76283662,NO,1
76300982,NO,2
76300986,NO,4
76301108,NO,2
76301163,NO,3
76305733,US,3
76330563,NO,3
76355408,FR,1
76355408,NO,3
76374946,NO,4
76374946,SE,9
76377591,GB,1
76377591,NO,4
76377767,GB,1
76377767,NO,5
76377794,FI,2
76377794,NO,2
76377794,PL,1
76377826,DE,6
76377826,DK,2
76377826,NO,4
76377835,NO,6
76444299,BE,1
76444299,FR,2
76444299,NO,1
76444469,NO,3
76444519,NO,13
76466258,CN,4
76466258,NO,1
76477919,NO,3
76483011,NO,3
76550530,NO,2
76550579,CA,1
76550579,DE,1
76550579,NO,4
76550616,FI,2
76550616,NO,1
76584298,BE,1
76584298,NO,1
76584374,CH,1
76584374,DE,1
76584374,NO,2
76584374,SE,1
76584439,AU,2
76584439,FI,1
76584439,NO,1
76601109,DE,2
76601109,NO,2
76637588,NO,2
76637601,NO,2
76637645,NO,2
76637646,NO,2
76637655,NO,2
76637657,NO,3
76637704,NO,2
76637728,NO,3
76637801,NO,2
76641593,DE,3
76641593,NO,1
76695500,NO,3
76695631,NO,3
76708070,NO,3
76708403,MT,1
76708403,NO,2
76730389,NO,4
76730434,NO,5
76741374,NO,1
76741374,US,1
76741396,NO,2
76741427,NO,4
76741467,DE,1
76741467,NO,1
76838897,NO,3
76838915,GB,4
76838915,NO,1
76838922,NO,3
76845166,FR,1
76845166,NO,1
76857946,NO,1
76857946,US,3
76885259,CN,2
76885259,NO,1
76891089,GB,1
76891089,NO,2
76891089,SE,2
76920719,FR,1
76920719,NO,1
76954388,NO,3
76954389,CH,1
76954389,NO,3
76954449,GB,6
76954449,NO,3
76954450,GB,13
76954450,NO,4
76954485,GB,1
76954485,NO,1
76954503,GB,1
76954503,NO,4
76954594,NO,4
76954617,DE,1
76954617,GB,1
76954617,NL,2
76954617,NO,7
76971173,CA,1
76971173,FR,1
76971173,NL,1
76971173,NO,1
76971173,US,7
76971972,NO,4
76991849,NO,5
77050617,NO,3
77050622,NO,4
77050633,NO,2
77050695,NO,3
77071212,BE,1
77071212,BR,1
77071212,NO,1
77071449,NO,3
77079065,NO,4
77079069,NO,2
77179460,NO,6
77179462,NO,9
77179507,NO,3
77179511,NO,5
77179512,NO,2
77179513,NO,5
77179526,NO,2
77179545,NO,2
77179549,NO,4
77179554,NO,2
77179556,NO,7
77179640,DE,1
77179640,NO,1
77179875,NO,3
77180233,FR,2
77180233,NO,1
77180233,US,1
77226815,NO,6
77256845,NO,5
77265018,NO,4
77265171,NO,3
77272861,NO,5
77272861,US,6
77274384,BE,3
77274384,NO,3
77274422,NO,2
77274458,GB,1
77274458,NO,3
77274533,NO,3
77274569,GB,1
77274569,NO,3
77274601,NO,3
77338715,NO,4
77353786,NO,2
77353839,DE,3
77353839,NO,3
77353883,NO,3
77353905,NO,2
77353951,NO,4
77353982,NO,4
77354008,NO,4
77398385,NO,2
77443336,NO,3
77443404,NO,6
77491967,NO,2
77499721,BE,1
77499721,NL,1
77499721,NO,4
77499725,BE,1
77499725,NL,1
77499725,NO,4
77518971,AT,1
77518971,BE,2
77518971,DE,1
77518971,FR,1
77518971,IT,1
77518971,NL,1
77518971,NO,1
77519120,GB,6
77519120,NO,1
77520556,NO,4
77520556,US,1
77541101,NO,3
77541104,NO,3
77612538,DE,3
77612538,FI,1
77612538,NO,1
77651167,NO,2
77651224,DE,1
77651224,GB,1
77651224,NO,6
77651243,NO,2
77651247,GB,1
77651247,NO,2
77651258,FI,2
77651258,NO,1
77651352,NO,4
77651374,NO,3
77651385,NO,3
77651420,GB,1
77651420,NO,2
77666140,DE,1
77666140,NO,1
77666205,DE,1
77666205,NO,1
77666505,NO,3
77710542,BE,1
77710542,NO,1
77711177,FR,2
77711177,NO,1
77726425,FR,1
77726425,NO,2
77774823,FI,1
77774823,NO,5
77774823,SE,1
77854452,NO,2
77854452,US,6
77859894,NO,3
77859955,NO,3
77860096,NO,3
77892622,NO,2
77892622,US,6
77913013,NO,3
77913930,BR,4
77913930,NO,1
77913965,AE,1
77913965,NO,1
77914010,NO,3
77930414,NO,2
77998908,FR,1
77998908,NO,1
77999706,NO,4
77999718,NO,5
77999728,FI,1
77999728,NO,4
78049496,NO,5
78049512,GB,3
78049512,NO,2
78076741,NO,3
78080235,DK,1
78080235,NO,7
78081604,CN,1
78081604,NO,2
78081604,US,2
78085476,NO,6
78085563,DK,1
78085563,NO,7
78086609,NO,2
78087017,NO,5
78114129,DK,4
78114129,NO,2
78149276,NO,2
78149310,NO,1
78149310,US,2
78149430,GB,1
78149430,NO,3
78179173,CH,1
78179173,DK,4
78179173,US,1
78221932,CA,1
78221932,FR,1
78221932,NL,1
78221932,NO,4
78221932,US,5
78269084,NO,3
78270297,NO,3
78292365,NO,7
78302707,NO,2
78333015,NO,3
78333016,NO,3
78373713,NO,2
78373715,NO,4
78399559,GB,1
78399559,NO,2
78399571,BE,2
78399571,NO,3
78399758,NO,2
78414448,AT,2
78414448,LI,1
78414448,NO,2
78414611,FR,1
78414611,NO,3
78463435,FR,1
78463435,NO,2
78497755,AE,1
78497755,NO,1
78497777,GB,1
78497777,NO,2
78497813,NO,3
78497950,NO,5
78500332,DE,1
78500332,NO,1
78500346,GB,1
78500346,NL,1
78500346,NO,1
