docdb_family_id,person_ctry_code,combined_ratio
58682786,NO,0.8333333333333334
58682786,SE,0.16666666666666666
58709962,NO,1.0
58721366,NO,0.8
58721366,US,0.2
58765887,NO,1.0
59065626,NO,1.0
59220635,GB,0.16666666666666666
59220635,NO,0.8333333333333334
59254039,GB,0.2
59254039,NO,0.2
59254039,US,0.6
59315613,NO,1.0
59676672,NO,1.0
59762051,ES,0.3
59762051,NO,0.7
59778985,CA,0.2
59778985,DK,0.3
59778985,NO,0.5
60037196,BE,0.4444444444444444
60037196,DK,0.3333333333333333
60037196,NO,0.2222222222222222
60037279,BE,0.4444444444444444
60037279,DK,0.3333333333333333
60037279,NO,0.2222222222222222
60117284,NO,0.3333333333333333
60117284,US,0.6666666666666666
60203014,NO,1.0
60452486,NO,1.0
60515375,BE,0.16666666666666666
60515375,CH,0.3333333333333333
60515375,FR,0.16666666666666666
60515375,NO,0.3333333333333333
60654494,FI,0.3333333333333333
60654494,NO,0.6666666666666666
60664176,NO,1.0
60673489,NO,1.0
60782210,NO,0.3333333333333333
60782210,SE,0.6666666666666666
60805742,GB,0.16666666666666666
60805742,NO,0.8333333333333334
61008786,NO,1.0
61024602,GB,0.25
61024602,NO,0.75
61054172,NO,1.0
61189448,NO,1.0
61254461,NO,1.0
61526773,NL,0.14285714285714285
61526773,NO,0.8571428571428571
61563532,NO,0.8888888888888888
61563532,US,0.1111111111111111
61563533,IT,0.1111111111111111
61563533,NO,0.7777777777777778
61563533,US,0.1111111111111111
61581354,NO,0.5
61581354,SE,0.5
61616772,NO,1.0
61899313,NO,1.0
62020082,NO,0.3333333333333333
62020082,SE,0.6666666666666666
62090016,NO,1.0
62142372,GB,0.7142857142857143
62142372,NO,0.2857142857142857
62167350,NO,1.0
62236239,NO,1.0
62494677,NO,1.0
62494678,NO,1.0
62624927,NO,0.5
62624927,SE,0.5
62624929,NO,0.5
62624929,SE,0.5
63143728,NO,1.0
63143801,GB,0.5
63143801,NO,0.25
63143801,SE,0.25
63405219,NO,1.0
63405220,NO,1.0
63445755,NO,1.0
63524241,BR,0.6666666666666666
63524241,CA,0.1111111111111111
63524241,NO,0.1111111111111111
63524241,US,0.1111111111111111
63556360,NO,1.0
63586806,NO,0.5
63586806,US,0.5
63715130,NO,1.0
63794756,NO,0.2
63794756,US,0.8
63834031,NO,1.0
63834034,NO,1.0
63858010,NO,1.0
63862136,NO,1.0
63878665,NO,1.0
63878684,NO,1.0
63915734,NO,0.75
63915734,US,0.25
64014714,NO,0.6
64014714,US,0.4
64604724,NO,0.25
64604724,US,0.75
64738034,NO,0.75
64738034,US,0.25
64738092,NO,0.8333333333333334
64738092,US,0.16666666666666666
64742639,NO,0.2
64742639,US,0.8
64744918,NO,1.0
64951218,NL,0.1
64951218,NO,0.3
64951218,US,0.6
65003554,NO,0.3333333333333333
65003554,US,0.6666666666666666
65009771,NO,1.0
65011748,NL,0.6
65011748,NO,0.2
65011748,US,0.2
65016249,NO,1.0
65024231,NO,1.0
65024727,GB,0.25
65024727,NO,0.5
65024727,SE,0.25
65236978,NO,1.0
65243589,GB,0.6666666666666666
65243589,NO,0.16666666666666666
65243589,US,0.16666666666666666
65274886,CA,0.42857142857142855
65274886,FR,0.14285714285714285
65274886,NL,0.14285714285714285
65274886,NO,0.14285714285714285
65274886,US,0.14285714285714285
65352053,NO,1.0
65352054,NO,1.0
65409118,NO,1.0
65808960,DE,0.16666666666666666
65808960,IN,0.16666666666666666
65808960,NO,0.16666666666666666
65808960,US,0.5
65995789,DE,0.4
65995789,NO,0.6
66102138,NO,1.0
66181370,NO,1.0
