docdb_family_id,person_ctry_code,applicant_ratio
56879732,US,1.0
56895114,NO,1.0
57218882,NO,1.0
57398467,NO,1.0
57799622,NO,1.0
57910122,NO,0.6666666666666666
57910122,US,0.3333333333333333
58044125,NO,1.0
58100941,CA,0.25
58100941,FR,0.25
58100941,NL,0.25
58100941,US,0.25
58188673,NO,1.0
58240861,NO,1.0
58360664,NO,1.0
58360996,NO,1.0
58448349,LI,1.0
58462478,NO,1.0
58464508,NO,1.0
58544187,NO,1.0
58548768,NO,1.0
58584257,NO,1.0
58632557,NO,1.0
58664231,US,1.0
58682734,NO,1.0
58682786,NO,1.0
58709962,NO,1.0
58721366,US,1.0
58765887,NO,1.0
59065626,NO,1.0
59220635,GB,0.5
59220635,NO,0.5
59254039,US,1.0
59315613,NO,1.0
59676672,NO,1.0
59762051,NO,1.0
59778985,DK,0.3333333333333333
59778985,NO,0.6666666666666666
60037196,BE,0.5
60037196,DK,0.5
60037279,BE,0.5
60037279,DK,0.5
60117284,US,1.0
60203014,NO,1.0
60452486,NO,1.0
60515375,CH,1.0
60654494,NO,1.0
60664176,NO,1.0
60673489,NO,1.0
60782210,SE,1.0
60805742,NO,1.0
61008786,NO,1.0
61024602,GB,1.0
61054172,NO,1.0
61189448,NO,1.0
61254461,NO,1.0
61526773,NL,0.3333333333333333
61526773,NO,0.6666666666666666
61563532,US,1.0
61563533,US,1.0
61581354,SE,1.0
61616772,NO,1.0
61899313,NO,1.0
62020082,SE,1.0
62090016,NO,1.0
62142372,GB,1.0
62167350,NO,1.0
62236239,NO,1.0
62494677,NO,1.0
62494678,NO,1.0
62624927,SE,1.0
62624929,SE,1.0
63143728,NO,1.0
63143801,GB,1.0
63405219,NO,1.0
63405220,NO,1.0
63445755,NO,1.0
63524241,NO,1.0
63556360,NO,1.0
63586806,US,1.0
63715130,NO,1.0
63794756,US,1.0
63834031,NO,1.0
63834034,NO,1.0
63858010,NO,1.0
63862136,NO,1.0
63878665,NO,1.0
63878684,NO,1.0
63915734,US,1.0
64014714,US,1.0
64604724,NO,1.0
64738034,US,1.0
64738092,US,1.0
64742639,US,1.0
64744918,NO,1.0
64951218,NL,0.3333333333333333
64951218,NO,0.3333333333333333
64951218,US,0.3333333333333333
65003554,NO,1.0
65009771,NO,1.0
65011748,NL,0.5
65011748,US,0.5
65016249,NO,1.0
65024231,NO,1.0
65024727,GB,1.0
65236978,NO,1.0
65243589,NO,1.0
65274886,CA,0.25
65274886,FR,0.25
65274886,NL,0.25
65274886,US,0.25
65352053,NO,1.0
65352054,NO,1.0
65409118,NO,1.0
65808960,US,1.0
65995789,NO,1.0
66102138,NO,1.0
66181370,NO,1.0
