docdb_family_id,person_ctry_code,applicant_ratio,inventor_ratio,combined_ratio
73223785,NO,1.0,1.0,1.0
74187338,NO,1.0,1.0,1.0
78179417,NO,1.0,1.0,1.0
74221464,NO,1.0,0.5,0.6667
74221464,NL,0.0,0.5,0.3333
75870643,NO,1.0,1.0,1.0
77256840,NO,1.0,1.0,1.0
70476117,NO,1.0,1.0,1.0
73037926,NO,1.0,1.0,1.0
74646292,NO,1.0,1.0,1.0
66101039,US,0.25,0.0,0.1429
66101039,FR,0.25,0.0,0.1429
66101039,NO,0.0,1.0,0.4286
66101039,NL,0.25,0.0,0.1429
66101039,CA,0.25,0.0,0.1429
51383629,US,0.25,0.0,0.2
51383629,VG,0.25,0.0,0.2
51383629,FR,0.25,0.0,0.2
51383629,NO,0.0,1.0,0.2
51383629,NL,0.25,0.0,0.2
72193451,NO,1.0,1.0,1.0
72424574,NO,0.0,0.6667,0.3333
72424574,US,0.6667,0.3333,0.5
72424574,NL,0.3333,0.0,0.1667
68164455,NO,0.0,0.125,0.1111
68164455,US,1.0,0.875,0.8889
67956578,NO,0.0,0.5,0.4
67956578,DE,1.0,0.5,0.6
65520050,NO,1.0,1.0,1.0
72426718,NO,1.0,0.6667,0.75
72426718,AU,0.0,0.3333,0.25
70465025,NO,1.0,1.0,1.0
72292529,NO,1.0,1.0,1.0
69165466,NO,0.5,1.0,0.8
69165466,DE,0.5,0.0,0.2
68619562,NO,0.5,1.0,0.8333
68619562,GB,0.5,0.0,0.1667
71465329,NO,0.5,0.0,0.25
71465329,CH,0.5,0.0,0.25
71465329,DE,0.0,0.5,0.25
71465329,DK,0.0,0.5,0.25
71670292,NO,1.0,0.0,0.2
71670292,US,0.0,1.0,0.8
64951169,NO,1.0,1.0,1.0
66540291,NO,1.0,1.0,1.0
71895152,NO,0.5,0.5,0.5
71895152,CH,0.5,0.5,0.5
68051600,NO,1.0,0.75,0.8
68051600,FR,0.0,0.25,0.2
73059944,NO,1.0,1.0,1.0
65443777,NO,1.0,1.0,1.0
71092592,NO,1.0,1.0,1.0
70476303,NO,1.0,1.0,1.0
67511647,NO,1.0,1.0,1.0
66809370,NO,1.0,1.0,1.0
67384992,NO,1.0,1.0,1.0
81393095,NO,1.0,1.0,1.0
72039454,NO,1.0,1.0,1.0
71078397,CO,0.0,0.2,0.1667
71078397,CY,0.0,0.4,0.3333
71078397,GB,1.0,0.0,0.1667
71078397,NO,0.0,0.2,0.1667
71078397,SE,0.0,0.2,0.1667
70295004,NO,0.5,1.0,0.8
70295004,DE,0.5,0.0,0.2
75914553,NO,1.0,1.0,1.0
46966745,NO,1.0,0.0,1.0
75162023,NO,1.0,1.0,1.0
74211208,NO,1.0,1.0,1.0
73856470,NO,1.0,0.0,0.25
73856470,BE,0.0,0.3333,0.25
73856470,NL,0.0,0.6667,0.5
78402110,NO,1.0,1.0,1.0
74037769,NO,0.0,0.4444,0.4
74037769,US,1.0,0.5556,0.6
79425617,NO,1.0,1.0,1.0
81458087,NO,1.0,1.0,1.0
78744966,NO,1.0,1.0,1.0
84238550,NO,1.0,0.0,1.0
74285314,NO,1.0,1.0,1.0
73598022,NO,0.0,1.0,0.5
73598022,FR,1.0,0.0,0.5
76033780,NO,1.0,1.0,1.0
74130212,NO,1.0,0.6667,0.8
74130212,RU,0.0,0.3333,0.2
76788205,NO,1.0,1.0,1.0
80249511,NO,0.0,0.6667,0.5
80249511,US,0.0,0.3333,0.25
80249511,GB,1.0,0.0,0.25
79170647,NO,1.0,1.0,1.0
77927670,NO,1.0,1.0,1.0
82683726,NO,1.0,1.0,1.0
68241143,NO,1.0,1.0,1.0
79170644,NO,1.0,1.0,1.0
80507166,NO,1.0,1.0,1.0
81259656,NO,1.0,1.0,1.0
78695769,NO,1.0,1.0,1.0
78668839,NO,1.0,1.0,1.0
80122315,NO,1.0,1.0,1.0
81306666,NO,1.0,1.0,1.0
